id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,trade_fee,exchange_trade_id
142,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589794742941,buy://ETHTUSD/8bf0882625b85f6cf480bde307,BUY,LIMIT,212.1589,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
143,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589795063851,buy://ETHTUSD/45b5d50873db3928b11c526d66,BUY,LIMIT,212.0639,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
144,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589795375684,buy://ETHTUSD/67d5f6e9350e6a56af55ebfeb5,BUY,LIMIT,211.4542,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
145,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589795490838,buy://ETHTUSD/424ca5533291d9558f91ba9ddc,BUY,LIMIT,210.8445,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
146,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589795599123,buy://ETHTUSD/fd7598a1a2c240755857b15b30,BUY,LIMIT,210.5397,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
147,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589795678001,sell://ETHTUSD/402e79805b039dc3a7a0c9adf8,SELL,LIMIT,209.7948,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
148,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589795799002,sell://ETHTUSD/7493c496f89ba7990f56c0abf7,SELL,LIMIT,210.3701,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
149,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589796175001,sell://ETHTUSD/e1ad21e613ccbaf79d147a4765,SELL,LIMIT,210.6603,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
150,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589796314001,sell://ETHTUSD/32c847df313a48f33e7b0e7009,SELL,LIMIT,210.8254,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
151,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589796642794,buy://ETHTUSD/ca3b95df4bc69624febfd51223,BUY,LIMIT,210.9295,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
152,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589797720941,buy://ETHTUSD/314931ff213a3c5b73f841f25e,BUY,LIMIT,211.929,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
153,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589797803514,buy://ETHTUSD/946bf289aa7019ef871cc0d83c,BUY,LIMIT,211.984,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
154,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589797977002,sell://ETHTUSD/7d5e2c85e2e061d5d20cda2a10,SELL,LIMIT,211.9859,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
155,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589798424505,buy://ETHTUSD/36559230b8cb0b56c63e94f218,BUY,LIMIT,211.969,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
156,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589798842002,sell://ETHTUSD/407d76a146a7bac0fc9c6ec3d9,SELL,LIMIT,211.9959,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
157,conf_pmm_binance_ethtusd.yml,pure_market_making,binance_PaperTrade,ETHTUSD,ETH,TUSD,1589798904324,buy://ETHTUSD/25d5a9b2d83c260f8813d2ce3a,BUY,LIMIT,211.824,0.1,"{""percent"": 0.0, ""flat_fees"": []}",
