,Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
0,2020-05-17 17:33:05,ETHTUSD,BUY,208.1866,0.1,20.81866,1.040933,TUSD
1,2020-05-17 18:07:21,ETHTUSD,SELL,209.1539,0.1,20.915390000000002,1.0457695000000002,TUSD
2,2020-05-17 18:10:30,ETHTUSD,SELL,210.4152,0.1,21.041520000000002,1.0520760000000002,TUSD
3,2020-05-17 18:12:44,ETHTUSD,SELL,211.7916,0.1,21.17916,1.058958,TUSD
4,2020-05-17 18:14:44,ETHTUSD,SELL,212.6775,0.1,21.267750000000003,1.0633875000000002,TUSD
5,2020-05-17 18:15:55,ETHTUSD,BUY,213.0068,0.1,21.30068,1.065034,TUSD
6,2020-05-17 18:18:27,ETHTUSD,SELL,213.5984,0.1,21.359840000000002,1.067992,TUSD
7,2020-05-17 18:19:43,ETHTUSD,BUY,213.9358,0.1,21.39358,1.069679,TUSD
8,2020-05-17 18:22:45,ETHTUSD,BUY,214.0657,0.1,21.406570000000002,1.0703285000000002,TUSD
9,2020-05-17 18:24:13,ETHTUSD,SELL,214.21400000000003,0.1,21.421400000000006,1.0710700000000004,TUSD
10,2020-05-17 18:25:30,ETHTUSD,BUY,213.8509,0.1,21.38509,1.0692545000000002,TUSD
11,2020-05-17 18:31:35,ETHTUSD,BUY,213.81599999999997,0.1,21.3816,1.06908,TUSD
12,2020-05-17 18:33:32,ETHTUSD,BUY,213.1117,0.1,21.311170000000004,1.0655585000000003,TUSD
13,2020-05-17 18:43:00,ETHTUSD,BUY,213.8359,0.1,21.38359,1.0691795000000002,TUSD
14,2020-05-17 18:47:02,ETHTUSD,SELL,214.0388,0.1,21.40388,1.070194,TUSD
15,2020-05-17 18:49:58,ETHTUSD,SELL,214.7696,0.1,21.476960000000002,1.0738480000000001,TUSD
16,2020-05-17 19:02:17,ETHTUSD,SELL,214.3441,0.1,21.43441,1.0717205,TUSD
17,2020-05-17 19:10:20,ETHTUSD,SELL,215.22,0.1,21.522000000000002,1.0761,TUSD
18,2020-05-17 19:14:16,ETHTUSD,BUY,214.4803,0.1,21.448030000000003,1.0724015000000002,TUSD
19,2020-05-17 19:18:46,ETHTUSD,BUY,213.5812,0.1,21.35812,1.067906,TUSD
20,2020-05-17 19:20:07,ETHTUSD,SELL,213.9237,0.1,21.39237,1.0696185,TUSD
21,2020-05-17 19:22:38,ETHTUSD,SELL,213.7535,0.1,21.37535,1.0687675,TUSD
22,2020-05-17 19:26:04,ETHTUSD,BUY,213.2865,0.1,21.32865,1.0664325000000001,TUSD
23,2020-05-17 19:49:16,ETHTUSD,SELL,214.4793,0.1,21.44793,1.0723965,TUSD
24,2020-05-17 19:57:20,ETHTUSD,BUY,214.5253,0.1,21.45253,1.0726265,TUSD
25,2020-05-17 20:12:25,ETHTUSD,SELL,215.6554,0.1,21.56554,1.078277,TUSD
26,2020-05-17 20:13:32,ETHTUSD,BUY,215.829,0.1,21.582900000000002,1.0791450000000002,TUSD
27,2020-05-17 20:23:40,ETHTUSD,BUY,214.6002,0.1,21.46002,1.073001,TUSD
28,2020-05-17 20:31:37,ETHTUSD,BUY,214.3804,0.1,21.43804,1.0719020000000001,TUSD
29,2020-05-17 20:43:49,ETHTUSD,SELL,214.3391,0.1,21.43391,1.0716955000000001,TUSD
30,2020-05-17 20:52:30,ETHTUSD,SELL,214.8146,0.1,21.481460000000002,1.074073,TUSD
31,2020-05-17 21:03:45,ETHTUSD,SELL,214.7746,0.1,21.47746,1.073873,TUSD
32,2020-05-17 21:10:05,ETHTUSD,BUY,215.764,0.1,21.576400000000003,1.0788200000000001,TUSD
33,2020-05-17 21:20:58,ETHTUSD,BUY,215.8739,0.1,21.58739,1.0793695,TUSD
34,2020-05-17 21:25:50,ETHTUSD,BUY,216.4783,0.1,21.64783,1.0823915,TUSD
35,2020-05-17 21:59:02,ETHTUSD,BUY,216.7031,0.1,21.67031,1.0835155,TUSD
36,2020-05-17 22:44:47,ETHTUSD,BUY,216.5482,0.1,21.65482,1.0827410000000002,TUSD
37,2020-05-17 22:52:16,ETHTUSD,BUY,215.5392,0.1,21.55392,1.0776960000000002,TUSD
